Dynamic System Electronics                        # Dynamic System Electronics
Miovision Technologies Incorporated               # Miovision Technologies Incorporated
Colorado Med Tech                                 # Colorado Med Tech
American Security Products                        # American Security Products
Western Digital Technologies                      # Western Digital Technologies
Kathrein Technotrend Gmbh                         # Kathrein Technotrend Gmbh
MSFVathauer Antriebstechnik GmbH                  # MSFVathauer Antriebstechnik GmbH
Titze Datentechnik Gmbh                           # Titze Datentechnik Gmbh
Advance Wireless Technology                       # Advance Wireless Technology
Shanghai Joindata Technology                      # Shanghai Joindata Technology
ProMinent Dosiertechnik GmbH                      # ProMinent Dosiertechnik GmbH
Advanced Technology Labs                          # Advanced Technology Labs
Wuhan Telecommunication Devices                   # Wuhan Telecommunication Devices
Digital Control Incorporated                      # Digital Control Incorporated
Treetech Sistemas Digitais                        # Treetech Sistemas Digitais
Jiangsu Yitong HighTech                           # Jiangsu Yitong HighTech
Junger AudioStudiotechnik GmbH                    # Junger AudioStudiotechnik GmbH
Network Security Systems                          # Network Security Systems
Koos Technical Services                           # Koos Technical Services
Universal Control Solution                        # Universal Control Solution
Japan Control Engineering                         # Japan Control Engineering
Elitegroup Computer Systems                       # Elitegroup Computer Systems
Stoeber Antriebstechnik Gmbh                      # Stoeber Antriebstechnik Gmbh
Logical Design Group                              # Logical Design Group
NovaTec Kommunikationstechnik GmbH                # NovaTec Kommunikationstechnik GmbH
Northwest Digital Systems                         # Northwest Digital Systems
Technology Advancement Group                      # Technology Advancement Group
Beijing E3Control Technology                      # Beijing E3Control Technology
Wago Kontakttechnik Gmbh                          # Wago Kontakttechnik Gmbh
Shin Wang Tech                                    # Shin Wang Tech
Video Products Group                              # Video Products Group
Scalable Network Technologies                     # Scalable Network Technologies
ATech elektronika doo                             # ATech elektronika doo
Advanced Technology Systems                       # Advanced Technology Systems
SensorTechnik Wiedemann GmbH                      # SensorTechnik Wiedemann GmbH
Technically Elite Concepts                        # Technically Elite Concepts
Messcomp Datentechnik GmbH                        # Messcomp Datentechnik GmbH
SHC Netzwerktechnik GmbH                          # SHC Netzwerktechnik GmbH
Advanced Control Systems                          # Advanced Control Systems
GlobalBeiMing technology BeijingCo                # GlobalBeiMing technology BeijingCo
Phytec Messtechnik GmbH                           # Phytec Messtechnik GmbH
Mobile Technologies Limited                       # Mobile Technologies Limited
Design Research Systems                           # Design Research Systems
Beijing Telecommunications equipment              # Beijing Telecommunications equipment
Digital Electronic Network                        # Digital Electronic Network
Advanced Computer Solutions                       # Advanced Computer Solutions
Advanced Telecommunication Technologies           # Advanced Telecommunication Technologies
Anviz Biometric Tech                              # Anviz Biometric Tech
Telecom Shenzhen Limited                          # Telecom Shenzhen Limited
Design Design Technology                          # Design Design Technology
International Data Communications                 # International Data Communications
Shenzhen Communication Technology                 # Shenzhen Communication Technology
Jireh Energy Tech                                 # Jireh Energy Tech
Sunniwell Cyber Tech                              # Sunniwell Cyber Tech
Tower Tech Srl                                    # Tower Tech Srl
Musilab Electronics DongGuanCo                    # Musilab Electronics DongGuanCo
American Technology LABS                          # American Technology LABS
Shenzhen VisionSTOR Technologies                  # Shenzhen VisionSTOR Technologies
Telecom Electronic Technology                     # Telecom Electronic Technology
Logic Product Development                         # Logic Product Development
Herrmann Ultraschalltechnik GmbH                  # Herrmann Ultraschalltechnik GmbH
Asiarock Technology Limited                       # Asiarock Technology Limited
Data Video Technologies                           # Data Video Technologies
Shenzhen Communication Technologies               # Shenzhen Communication Technologies
Computer Engineering Limited                      # Computer Engineering Limited
EMH Energiemesstechnik GmbH                       # EMH Energiemesstechnik GmbH
Shanghai Mobiletek Communication                  # Shanghai Mobiletek Communication
Advanced Electronic Design                        # Advanced Electronic Design
Southern Vision Systems                           # Southern Vision Systems
Digital Video Communications                      # Digital Video Communications
Digital Video NetworksShanghai                    # Digital Video NetworksShanghai
Mythology Tech Express                            # Mythology Tech Express
Industrial Control Communications                 # Industrial Control Communications
Imaging Solutions Group                           # Imaging Solutions Group
Athena Wireless Communications                    # Athena Wireless Communications
Shanghai Genvision Industries                     # Shanghai Genvision Industries
Software Technologies Group                       # Software Technologies Group
Access Systems Americas                           # Access Systems Americas
Videology Imaging Solutions                       # Videology Imaging Solutions
Infratec Datentechnik GmbH                        # Infratec Datentechnik GmbH
Gravotech Marking SAS                             # Gravotech Marking SAS
Japan Minicomputer Systems                        # Japan Minicomputer Systems
Matuschek Messtechnik GmbH                        # Matuschek Messtechnik GmbH
Xia Men Joyatech                                  # Xia Men Joyatech
Data Transmission Network                         # Data Transmission Network
Space Shuttle HiTech                              # Space Shuttle HiTech
TLab West Systems                                 # TLab West Systems
Network Equipment Technologies                    # Network Equipment Technologies
Electronics India Limited                         # Electronics India Limited
Optical Access International                      # Optical Access International
Software International Limited                    # Software International Limited
Network Video Technologies                        # Network Video Technologies
Advanced Mobile Telecom                           # Advanced Mobile Telecom
Optical Communications Products                   # Optical Communications Products
Korea Network Systems                             # Korea Network Systems
Data Information Technology                       # Data Information Technology
Berghof Automationstechnik Gmbh                   # Berghof Automationstechnik Gmbh
Tews Datentechnik GmbH                            # Tews Datentechnik GmbH
Video Technology Computers                        # Video Technology Computers
Electronic Computer Systems                       # Electronic Computer Systems
Information Technology Limited                    # Information Technology Limited
Data Control Equipment                            # Data Control Equipment
Shanghai DareGlobal Technologies                  # Shanghai DareGlobal Technologies
Jenaer Antriebstechnik GmbH                       # Jenaer Antriebstechnik GmbH
Advanced Wireless Dynamics                        # Advanced Wireless Dynamics
Electronics Mobile Communications                 # Electronics Mobile Communications
Eutech Instruments PTE                            # Eutech Instruments PTE
Datahouse Information Systems                     # Datahouse Information Systems
Japan Digital Laboratyltd                         # Japan Digital Laboratyltd
Corporate Network Systems                         # Corporate Network Systems
LongdhuaBeijing Controls Technology               # LongdhuaBeijing Controls Technology
Somo Holdings TECH                                # Somo Holdings TECH
Security Dynamics Technologies                    # Security Dynamics Technologies
Pou Yuen Tech                                     # Pou Yuen Tech
Unglaube Identech GmbH                            # Unglaube Identech GmbH
Protechna Herbst GmbH                             # Protechna Herbst GmbH
Dirmeier Schanktechnik Gmbh                       # Dirmeier Schanktechnik Gmbh
Universal Access Technology                       # Universal Access Technology
Hydac Filtertechnik Gmbh                          # Hydac Filtertechnik Gmbh
