Omega                                             # Omega Electronics
datacom systems                                   # datacom systems
American Networks                                 # American Networks
Aurora                                            # Aurora Technologies
Cello                                             # Cello Electronics
MCD                                               # MCD Electronics
Commodore                                         # Commodore International
Ampro                                             # Ampro Computers
ETT                                               # ETT Technology
Aruba                                             # Aruba Networks
Hanson                                            # Hanson Technology
Wegener                                           # Wegener Communications
Turin                                             # Turin Networks
Malibu                                            # Malibu Networks
nFore                                             # nFore Technology
Griffin                                           # Griffin Technology
Sunrise                                           # Sunrise Technologies
Yaojin                                            # Yaojin TechnologyShenzhenCo
Kubota                                            # Kubota Electronic
Advantech AMT                                     # Advantech AMT
Motorola                                          # Motorola Solutions
Nihon                                             # Nihon Computer
Staccato                                          # Staccato Communications
Ennovate                                          # Ennovate Networks
BNS                                               # BNS Solutions
Kingtel                                           # Kingtel Telecommunication
Vlsi                                              # Vlsi Technology
ViaVideo Communications                           # ViaVideo Communications
Panasonic                                         # Panasonic Communications
Amcrest                                           # Amcrest Technologies
Furuno                                            # Furuno Electric
Arcturus                                          # Arcturus Networks
Cdoubles                                          # Cdoubles Electronics
City Theatrical                                   # City Theatrical
Macey                                             # Macey Enterprises
Acrowave                                          # Acrowave Systems
Secret                                            # Secret Labs
Incipio                                           # Incipio Technologies
Arion                                             # Arion Technology
Cermetek                                          # Cermetek Microelectronics
EWA                                               # EWA Technologies
Flextronics                                       # Flextronics International
tmac                                              # tmac Technologies
Lutron                                            # Lutron Electronics
Kozumi                                            # Kozumi USA
Oresis                                            # Oresis Communications
BLwave                                            # BLwave Electronics
CMC                                               # CMC Electronics
Crinis                                            # Crinis Networks
Comart                                            # Comart system
Safetran                                          # Safetran Systems
Onkey                                             # Onkey Technologies
Techno Trade                                      # Techno Trade
Maitrise                                          # Maitrise Technologique
Piltofish                                         # Piltofish Networks
Edata Communication                               # Edata Communication
Senor Tech                                        # Senor Tech
Eagle                                             # Eagle Technologiesltd
Entrega                                           # Entrega Technologies
ViaGate                                           # ViaGate Technologies
Solbourne                                         # Solbourne Computer
Vina                                              # Vina Technologies
Tibbo                                             # Tibbo Technology
Merry                                             # Merry Electrics
Applied                                           # Applied Microsystems
Sealevel                                          # Sealevel Systems
Magic                                             # Internet Magic
Webtech                                           # Webtech Wireless
WFE                                               # WFE Technology
Vidicode                                          # Vidicode Datacommunicatie
Bigfoot                                           # Bigfoot Networks
Leichu                                            # Leichu Enterprise
Intellimedia                                      # Intellimedia Systems
Remote                                            # Remote Technologies
Qingbang                                          # Qingbang Elecsz
Seeq                                              # Seeq Technology
WaterFurnace                                      # WaterFurnace International
Sangshin                                          # Sangshin elecom
Geyser                                            # Geyser Networks
Eito                                              # Eito Electronics
Guoguang                                          # Guoguang Electric
Trigem                                            # Trigem Computer
